tave,tmin,tmax,heat_index,pr,wind_speed,rh,solar_rad,uv_rad,dentist_nearest,doctors_nearest,hospital_nearest,optician_nearest,pharmacy_nearest,pop_count_total,pop_density_mean,dentist_count,doctors_count,hospital_count,optician_count,pharmacy_count,case_total
28.71,27.17,30.73,33.80,9.33,3.85,80.20,185.13,23.94,1461.16,10000.00,883.62,1327.64,153.05,13551.19,35729.54,7.00,0.00,14.00,7.00,126.00,6.00
27.68,26.43,29.39,31.91,10.28,3.83,84.80,175.50,22.69,10000.00,10000.00,10000.00,9998.30,949.48,20156.26,44536.11,0.00,0.00,0.00,0.00,7.00,6.00
28.50,26.93,30.56,33.25,8.43,3.76,80.25,188.55,24.24,1800.19,2208.15,675.96,1743.96,300.98,51784.80,11364.11,21.00,7.00,42.00,7.00,126.00,9.00
28.50,25.98,31.64,32.92,10.28,1.59,78.94,231.93,29.01,1461.16,10000.00,883.62,1327.64,153.05,13551.19,35729.54,7.00,0.00,14.00,7.00,126.00,11.00
27.71,25.26,30.57,31.13,9.22,1.02,79.97,236.52,29.68,10000.00,10000.00,10000.00,9998.30,949.48,20156.26,44536.11,0.00,0.00,0.00,0.00,7.00,15.00
28.20,25.65,31.44,32.29,8.17,1.56,79.53,233.20,29.03,1800.19,2208.15,675.96,1743.96,300.98,51784.80,11364.11,21.00,7.00,42.00,7.00,126.00,2.00
28.37,25.70,31.71,32.12,8.26,1.07,76.53,218.86,27.39,1461.16,10000.00,883.62,1327.64,153.05,13551.19,35729.54,5.00,0.00,10.00,5.00,90.00,11.00
27.74,24.93,31.15,30.99,12.42,0.75,79.33,220.48,27.25,10000.00,10000.00,10000.00,9998.30,949.48,20156.26,44536.11,0.00,0.00,0.00,0.00,5.00,13.00
28.07,25.38,31.54,31.56,4.87,1.09,77.12,220.79,27.56,1800.19,2208.15,675.96,1743.96,300.98,51784.80,11364.11,15.00,5.00,30.00,5.00,90.00,18.00
28.70,26.39,31.55,33.34,0.00,0.56,77.75,240.45,28.94,1461.16,10000.00,883.62,1327.64,153.05,13551.19,35729.54,2.00,0.00,4.00,2.00,36.00,0.00
